reviewText,processedReviewText
"This machine comes with everything you need. Already half assembled, if you have never assembled one before, it will take you about 1 to 2 hours. If you have experience, it will take about 30 to 45 minutes. Cuts great. I didn't use candle software that comes with the machine, but the Universal G code sender I already had installed on the computer worked great. ( FYI- I do have candle already installed on my computer and it also works great with candle.) Using machine to engrave electrical alarm panels. Does a great job for what I need.",machine come everything need already half assemble never assemble one take 1 2 hour experience take 30 45 minute cut great use candle software come machine universal g code sender already instal computer work great fyi candle already instal computer also work great candle use machine engrave electrical alarm panel great job need
Being newer to having our own machine this is a fun and relatively easy machine to use- some kinks with software but got it sorted and works great,new machine fun relatively easy machine use kink software get sorted work great
"This is my second FoxAlien product. My 4040 is an awesome machine that I use for carving, I wanted a laser setup so I ordered the 40w setup and so I did not have to change out the spindle I purchased a Masuter Pro. The only issue was the control board had problems (would not home and was failing to position) So I contacted support and they did an excellent job of diagnosing the issue and sending me a replacement controller in a timely fashion. You know you have a good company when something goes wrong and the respond quickly with replacement part or answers to question. I will for sure continue to purchase products from FoxAlien",second foxalien product 4040 awesome machine use carve want laser setup order 40w setup change spindle purchase masuter pro issue control board problem would home fail position contact support excellent job diagnose issue send replacement controller timely fashion know good company something go wrong respond quickly replacement part answer question sure continue purchase product foxalien
"Beginners will find this machine to be quite frustrating. Everything from setting up the included software to figuring out feeds and speeds is a black box with little to no information to help. But if you can get past that and get cutting, this thing is a little miracle at this price. The ability to turn it into a 4080, or upgrade to a 300w spindle or a laser, or add an offline controller for just a small additional investment is one of the biggest selling points for this particular machine over others.",beginner find machine quite frustrating everything set include software figure feed speed black box little information help get past get cut thing little miracle price ability turn 4080 upgrade 300w spindle laser add offline controller small additional investment one big sell point particular machine other
"Fox Alien definitely did there homework. This new machine is so awesome. Easy to assemble, set up, and run. The z axis is a huge upgrade previous the previous design. I would recommend upgrading to he Mikita router. It make the machine even better. It also comes with the mount for the Mikita router. For the price point you won't find a better machine. Thanks For making a great machine.",fox alien definitely homework new machine awesome easy assemble set run z axis huge upgrade previous previous design would recommend upgrading mikita router make machine even well also come mount mikita router price point find good machine thanks make great machine
"I've tried just about everything at this point changed belts, setup steps, and tightened every screw and bolts I could find and after ruining hundreds of dollars of stock. To this point after asking for help replacing the Controller Box I've heard nothing from support. I purchased the Masuter Pro and then the extension for the CNC which I'm into this CNC Machine way over $2,000.00 including stock purchased. I'm thinking it may be time to go out and purchase an X-Carve CNC and toss this one. The above pics are my current frustrations not including my 3D issues! I've asked for a replacement but crickets as of yet!",try everything point change belt setup step tighten every screw bolt could find ruin hundred dollar stock point ask help replace controller box heard nothing support purchase masuter pro extension cnc cnc machine way $ 200000 include stock purchase thinking may time go purchase xcarve cnc toss one pic current frustration include 3d issue ask replacement cricket yet
"Terrible product, the usb controller that you have to use gave someone access to my computer and they attempted to use my IP Address. Could never get it to communicate with my computer properly and there is absolutely zero technical support. When someone finally did get back to me they said they missed it because it went into their spam folder. Have never heard that with a legit company as an excuse and. If you are a CNC pro or IT guy this might be the machine for you but I don't trust it at all.",terrible product usb controller use give someone access computer attempt use ip address could never get communicate computer properly absolutely zero technical support someone finally get back say miss go spam folder never hear legit company excuse cnc pro guy might machine trust
"This thing is garbage. The limit switches are junk and keep on sticking. They have messed up on me multiple times while cutting. The power cord fits so loose that vibration can cause it to come unplugged. The clamps are garbage, used 4 clamps and project still moved. After 5 failed attempts on the same projects, I unhooked it and put it in the closet till I find someone who wants to buy this P.O.S. So irritated that I cracked my computer screen after hours and hours of failed projects.",thing garbage limit switch junk keep stick messed multiple time cut power cord fit loose vibration cause come unplugged clamp garbage use 4 clamp project still move 5 fail attempt project unhook put closet till find someone want buy po irritate cracked computer screen hour hour fail project
"Overall the machine works well, and the Axis move to how you position and without issues. However the spindle and the holder that it comes with do not and by this I mean the spindle isn't secure enough to not lower itself during the engraving. I've been trying to figure it out and then I noticed my spindle keep dropping without the z axis dropping. and on top of that I can't tighten or loosen the spindle holder because the screws have stripped. I'll have to figure out a work around but overall an adequate machine.",overall machine work well axis move position without issue however spindle holder come mean spindle secure enough low engrave try figure notice spindle keep drop without z axis drop top tighten loosen spindle holder screw strip figure work around overall adequate machine
"I recently bought the Longer RAY5 Laser Engraver, and it has exceeded my expectations in every way. The 5W output laser, combined with the 40W laser engraving cutter, makes it incredibly powerful and precise for a variety of material including wood and metal. The engraver works flawlessly and is very easy to set up and use.",recently buy long ray5 laser engraver exceed expectation every way 5w output laser combine 40w laser engrave cutter make incredibly powerful precise variety material include wood metal engraver work flawlessly easy set use
